Number,Name,Type,Height(m),Weight(lbs),BMI,Image Link
454,Toxicroak,"['Poison', 'Fighting']",1.3,97.9,44.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/toxicroak.png
455,Carnivine,['Grass'],1.4,59.5,27,https://img.pokemondb.net/sprites/scarlet-violet/icon/carnivine.png
456,Finneon,['Water'],0.4,15.4,7,https://img.pokemondb.net/sprites/scarlet-violet/icon/finneon.png
457,Lumineon,['Water'],1.2,52.9,24,https://img.pokemondb.net/sprites/scarlet-violet/icon/lumineon.png
458,Mantyke,"['Water', 'Flying']",1,143.3,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/mantyke.png
459,Snover,"['Grass', 'Ice']",1,111.3,50.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/snover.png
460,Abomasnow,"['Grass', 'Ice']",2.2,298.7,135.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/abomasnow.png
461,Weavile,"['Darkness', 'Ice']",1.1,75,34,https://img.pokemondb.net/sprites/scarlet-violet/icon/weavile.png
462,Magnezone,"['Electric', 'Metal']",1.2,396.8,180,https://img.pokemondb.net/sprites/scarlet-violet/icon/magnezone.png
463,Lickilicky,['Normal'],1.7,308.6,140,https://img.pokemondb.net/sprites/scarlet-violet/icon/lickilicky.png
464,Rhyperior,"['Ground', 'Rock']",2.4,623.5,282.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/rhyperior.png
465,Tangrowth,['Grass'],2,283.5,128.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/tangrowth.png
466,Electivire,['Electric'],1.8,305.6,138.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/electivire.png
467,Magmortar,['Fire'],1.6,149.9,68,https://img.pokemondb.net/sprites/scarlet-violet/icon/magmortar.png
468,Togekiss,"['Fairy', 'Flying']",1.5,83.8,38,https://img.pokemondb.net/sprites/scarlet-violet/icon/togekiss.png
469,Yanmega,"['Bug', 'Flying']",1.9,113.5,51.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/yanmega.png
470,Leafeon,['Grass'],1,56.2,25.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/leafeon.png
471,Glaceon,['Ice'],0.8,57.1,25.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/glaceon.png
472,Gliscor,"['Ground', 'Flying']",2,93.7,42.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/gliscor.png
473,Mamoswine,"['Ice', 'Ground']",2.5,641.5,291,https://img.pokemondb.net/sprites/scarlet-violet/icon/mamoswine.png
474,Porygon-Z,['Normal'],0.9,75,34,https://img.pokemondb.net/sprites/scarlet-violet/icon/porygon-z.png
475,Gallade,"['Psychic', 'Fighting']",1.6,114.6,52,https://img.pokemondb.net/sprites/scarlet-violet/icon/gallade.png
476,Probopass,"['Rock', 'Metal']",1.4,749.6,340,https://img.pokemondb.net/sprites/scarlet-violet/icon/probopass.png
477,Dusknoir,['Ghost'],2.2,235,106.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/dusknoir.png
478,Froslass,"['Ice', 'Ghost']",1.3,58.6,26.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/froslass.png
479,Rotom,"['Electric', 'Ghost']",0.3,0.7,0.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/rotom.png
480,Uxie,['Psychic'],0.3,0.7,0.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/uxie.png
481,Mesprit,['Psychic'],0.3,0.7,0.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/mesprit.png
482,Azelf,['Psychic'],0.3,0.7,0.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/azelf.png
483,Dialga,"['Metal', 'Dragon']",5.4,1505.8,683,https://img.pokemondb.net/sprites/scarlet-violet/icon/dialga.png
484,Palkia,"['Water', 'Dragon']",4.2,740.8,336,https://img.pokemondb.net/sprites/scarlet-violet/icon/palkia.png
485,Heatran,"['Fire', 'Metal']",1.7,948,430,https://img.pokemondb.net/sprites/scarlet-violet/icon/heatran.png
486,Regigigas,['Normal'],3.7,925.9,420,https://img.pokemondb.net/sprites/scarlet-violet/icon/regigigas.png
487,Giratina,"['Ghost', 'Dragon']",4.5,1653.5,750,https://img.pokemondb.net/sprites/scarlet-violet/icon/giratina-altered.png
488,Cresselia,['Psychic'],1.5,188.7,85.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/cresselia.png
489,Phione,['Water'],0.4,6.8,3.1,https://img.pokemondb.net/sprites/scarlet-violet/icon/phione.png
490,Manaphy,['Water'],0.3,3.1,1.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/manaphy.png
491,Darknessrai,['Darkness'],1.5,111.3,50.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/Darknessrai.png
492,Shaymin,['Grass'],0.2,4.6,2.1,https://img.pokemondb.net/sprites/scarlet-violet/icon/shaymin-land.png
493,Arceus,['Normal'],3.2,705.5,320,https://img.pokemondb.net/sprites/scarlet-violet/icon/arceus.png
494,Victini,"['Psychic', 'Fire']",0.4,8.8,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/victini.png
495,Snivy,['Grass'],0.6,17.9,8.1,https://img.pokemondb.net/sprites/scarlet-violet/icon/snivy.png
496,Servine,['Grass'],0.8,35.3,16,https://img.pokemondb.net/sprites/scarlet-violet/icon/servine.png
497,Serperior,['Grass'],3.3,138.9,63,https://img.pokemondb.net/sprites/scarlet-violet/icon/serperior.png
498,Tepig,['Fire'],0.5,21.8,9.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/tepig.png
499,Pignite,"['Fire', 'Fighting']",1,122.4,55.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/pignite.png
500,Emboar,"['Fire', 'Fighting']",1.6,330.7,150,https://img.pokemondb.net/sprites/scarlet-violet/icon/emboar.png
501,Oshawott,['Water'],0.5,13,5.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/oshawott.png
502,Dewott,['Water'],0.8,54,24.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/dewott.png
503,Samurott,['Water'],1.5,208.6,94.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/samurott.png
504,Patrat,['Normal'],0.5,25.6,11.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/patrat.png
505,Watchog,['Normal'],1.1,59.5,27,https://img.pokemondb.net/sprites/scarlet-violet/icon/watchog.png
506,Lillipup,['Normal'],0.4,9,4.1,https://img.pokemondb.net/sprites/scarlet-violet/icon/lillipup.png
507,Herdier,['Normal'],0.9,32.4,14.7,https://img.pokemondb.net/sprites/scarlet-violet/icon/herdier.png
508,Stoutland,['Normal'],1.2,134.5,61,https://img.pokemondb.net/sprites/scarlet-violet/icon/stoutland.png
509,Purrloin,['Darkness'],0.4,22.3,10.1,https://img.pokemondb.net/sprites/scarlet-violet/icon/purrloin.png
510,Liepard,['Darkness'],1.1,82.7,37.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/liepard.png
511,Pansage,['Grass'],0.6,23.1,10.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/pansage.png
512,Simisage,['Grass'],1.1,67.2,30.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/simisage.png
513,Pansear,['Fire'],0.6,24.3,11,https://img.pokemondb.net/sprites/scarlet-violet/icon/pansear.png
514,Simisear,['Fire'],1,61.7,28,https://img.pokemondb.net/sprites/scarlet-violet/icon/simisear.png
515,Panpour,['Water'],0.6,29.8,13.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/panpour.png
516,Simipour,['Water'],1,63.9,29,https://img.pokemondb.net/sprites/scarlet-violet/icon/simipour.png
517,Munna,['Psychic'],0.6,51.4,23.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/munna.png
518,Musharna,['Psychic'],1.1,133.4,60.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/musharna.png
519,Pidove,"['Normal', 'Flying']",0.3,4.6,2.1,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidove.png
520,Tranquill,"['Normal', 'Flying']",0.6,33.1,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/tranquill.png
521,Unfezant,"['Normal', 'Flying']",1.2,63.9,29,https://img.pokemondb.net/sprites/scarlet-violet/icon/unfezant.png
522,Blitzle,['Electric'],0.8,65.7,29.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/blitzle.png
523,Zebstrika,['Electric'],1.6,175.3,79.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/zebstrika.png
524,Roggenrola,['Rock'],0.4,39.7,18,https://img.pokemondb.net/sprites/scarlet-violet/icon/roggenrola.png
525,Boldore,['Rock'],0.9,224.9,102,https://img.pokemondb.net/sprites/scarlet-violet/icon/boldore.png
526,Gigalith,['Rock'],1.7,573.2,260,https://img.pokemondb.net/sprites/scarlet-violet/icon/gigalith.png
527,Woobat,"['Psychic', 'Flying']",0.4,4.6,2.1,https://img.pokemondb.net/sprites/scarlet-violet/icon/woobat.png
528,Swoobat,"['Psychic', 'Flying']",0.9,23.1,10.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/swoobat.png
529,Drilbur,['Ground'],0.3,18.7,8.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/drilbur.png
530,Excadrill,"['Ground', 'Metal']",0.7,89.1,40.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/excadrill.png
531,Audino,['Normal'],1.1,68.3,31,https://img.pokemondb.net/sprites/scarlet-violet/icon/audino.png
532,Timburr,['Fighting'],0.6,27.6,12.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/timburr.png
533,Gurdurr,['Fighting'],1.2,88.2,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/gurdurr.png
534,Conkeldurr,['Fighting'],1.4,191.8,87,https://img.pokemondb.net/sprites/scarlet-violet/icon/conkeldurr.png
535,Tympole,['Water'],0.5,9.9,4.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/tympole.png
536,Palpitoad,"['Water', 'Ground']",0.8,37.5,17,https://img.pokemondb.net/sprites/scarlet-violet/icon/palpitoad.png
537,Seismitoad,"['Water', 'Ground']",1.5,136.7,62,https://img.pokemondb.net/sprites/scarlet-violet/icon/seismitoad.png
538,Throh,['Fighting'],1.3,122.4,55.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/throh.png
539,Sawk,['Fighting'],1.4,112.4,51,https://img.pokemondb.net/sprites/scarlet-violet/icon/sawk.png
540,Sewaddle,"['Bug', 'Grass']",0.3,5.5,2.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/sewaddle.png
541,Swadloon,"['Bug', 'Grass']",0.5,16.1,7.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/swadloon.png
542,Leavanny,"['Bug', 'Grass']",1.2,45.2,20.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/leavanny.png
543,Venipede,"['Bug', 'Poison']",0.4,11.7,5.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/venipede.png
544,Whirlipede,"['Bug', 'Poison']",1.2,129,58.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/whirlipede.png
545,Scolipede,"['Bug', 'Poison']",2.5,442,200.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/scolipede.png
546,Cottonee,"['Grass', 'Fairy']",0.3,1.3,0.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/cottonee.png
547,Whimsicott,"['Grass', 'Fairy']",0.7,14.6,6.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/whimsicott.png
548,Petilil,['Grass'],0.5,14.6,6.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/petilil.png
549,Lilligant,['Grass'],1.1,35.9,16.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/lilligant.png
550,Basculin,['Water'],1,39.7,18,https://img.pokemondb.net/sprites/scarlet-violet/icon/basculin-red-striped.png
551,Sandile,"['Ground', 'Darkness']",0.7,33.5,15.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandile.png
552,Krokorok,"['Ground', 'Darkness']",1,73.6,33.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/krokorok.png
553,Krookodile,"['Ground', 'Darkness']",1.5,212.3,96.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/krookodile.png
554,Darumaka,['Fire'],0.6,82.7,37.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/darumaka.png
555,Darmanitan,['Fire'],1.3,204.8,92.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/darmanitan-standard.png
556,Maractus,['Grass'],1,61.7,28,https://img.pokemondb.net/sprites/scarlet-violet/icon/maractus.png
557,Dwebble,"['Bug', 'Rock']",0.3,32,14.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/dwebble.png
558,Crustle,"['Bug', 'Rock']",1.4,440.9,200,https://img.pokemondb.net/sprites/scarlet-violet/icon/crustle.png
559,Scraggy,"['Darkness', 'Fighting']",0.6,26,11.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/scraggy.png
560,Scrafty,"['Darkness', 'Fighting']",1.1,66.1,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/scrafty.png
561,Sigilyph,"['Psychic', 'Flying']",1.4,30.9,14,https://img.pokemondb.net/sprites/scarlet-violet/icon/sigilyph.png
562,Yamask,['Ghost'],0.5,3.3,1.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/yamask.png
563,Cofagrigus,['Ghost'],1.7,168.7,76.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/cofagrigus.png
564,Tirtouga,"['Water', 'Rock']",0.7,36.4,16.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/tirtouga.png
565,Carracosta,"['Water', 'Rock']",1.2,178.6,81,https://img.pokemondb.net/sprites/scarlet-violet/icon/carracosta.png
566,Archen,"['Rock', 'Flying']",0.5,20.9,9.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/archen.png
567,Archeops,"['Rock', 'Flying']",1.4,70.5,32,https://img.pokemondb.net/sprites/scarlet-violet/icon/archeops.png
568,Trubbish,['Poison'],0.6,68.3,31,https://img.pokemondb.net/sprites/scarlet-violet/icon/trubbish.png
569,Garbodor,['Poison'],1.9,236.6,107.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/garbodor.png
570,Zorua,['Darkness'],0.7,27.6,12.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/zorua.png
571,Zoroark,['Darkness'],1.6,178.8,81.1,https://img.pokemondb.net/sprites/scarlet-violet/icon/zoroark.png
572,Minccino,['Normal'],0.4,12.8,5.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/minccino.png
573,Cinccino,['Normal'],0.5,16.5,7.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/cinccino.png
574,Gothita,['Psychic'],0.4,12.8,5.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/gothita.png
575,Gothorita,['Psychic'],0.7,39.7,18,https://img.pokemondb.net/sprites/scarlet-violet/icon/gothorita.png
576,Gothitelle,['Psychic'],1.5,97,44,https://img.pokemondb.net/sprites/scarlet-violet/icon/gothitelle.png
577,Solosis,['Psychic'],0.3,2.2,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/solosis.png
578,Duosion,['Psychic'],0.6,17.6,8,https://img.pokemondb.net/sprites/scarlet-violet/icon/duosion.png
579,Reuniclus,['Psychic'],1,44.3,20.1,https://img.pokemondb.net/sprites/scarlet-violet/icon/reuniclus.png
580,Ducklett,"['Water', 'Flying']",0.5,12.1,5.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/ducklett.png
581,Swanna,"['Water', 'Flying']",1.3,53.4,24.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/swanna.png
582,Vanillite,['Ice'],0.4,12.6,5.7,https://img.pokemondb.net/sprites/scarlet-violet/icon/vanillite.png
583,Vanillish,['Ice'],1.1,90.4,41,https://img.pokemondb.net/sprites/scarlet-violet/icon/vanillish.png
584,Vanilluxe,['Ice'],1.3,126.8,57.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/vanilluxe.png
585,Deerling,"['Normal', 'Grass']",0.6,43,19.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/deerling.png
586,Sawsbuck,"['Normal', 'Grass']",1.9,203.9,92.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/sawsbuck.png
587,Emolga,"['Electric', 'Flying']",0.4,11,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/emolga.png
588,Karrablast,['Bug'],0.5,13,5.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/karrablast.png
589,Escavalier,"['Bug', 'Metal']",1,72.8,33,https://img.pokemondb.net/sprites/scarlet-violet/icon/escavalier.png
590,Foongus,"['Grass', 'Poison']",0.2,2.2,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/foongus.png
591,Amoonguss,"['Grass', 'Poison']",0.6,23.1,10.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/amoonguss.png
592,Frillish,"['Water', 'Ghost']",1.2,72.8,33,https://img.pokemondb.net/sprites/scarlet-violet/icon/frillish.png
593,Jellicent,"['Water', 'Ghost']",2.2,297.6,135,https://img.pokemondb.net/sprites/scarlet-violet/icon/jellicent.png
594,Alomomola,['Water'],1.2,69.7,31.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/alomomola.png
595,Joltik,"['Bug', 'Electric']",0.1,1.3,0.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/joltik.png
596,Galvantula,"['Bug', 'Electric']",0.8,31.5,14.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/galvantula.png
597,Ferroseed,"['Grass', 'Metal']",0.6,41.4,18.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/ferroseed.png
598,Ferrothorn,"['Grass', 'Metal']",1,242.5,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/ferrothorn.png
599,Klink,['Metal'],0.3,46.3,21,https://img.pokemondb.net/sprites/scarlet-violet/icon/klink.png
600,Klang,['Metal'],0.6,112.4,51,https://img.pokemondb.net/sprites/scarlet-violet/icon/klang.png
601,Klinklang,['Metal'],0.6,178.6,81,https://img.pokemondb.net/sprites/scarlet-violet/icon/klinklang.png
602,Tynamo,['Electric'],0.2,0.7,0.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/tynamo.png
603,Eelektrik,['Electric'],1.2,48.5,22,https://img.pokemondb.net/sprites/scarlet-violet/icon/eelektrik.png
604,Eelektross,['Electric'],2.1,177.5,80.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/eelektross.png
605,Elgyem,['Psychic'],0.5,19.8,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/elgyem.png
606,Beheeyem,['Psychic'],1,76.1,34.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/beheeyem.png
607,Litwick,"['Ghost', 'Fire']",0.3,6.8,3.1,https://img.pokemondb.net/sprites/scarlet-violet/icon/litwick.png
608,Lampent,"['Ghost', 'Fire']",0.6,28.7,13,https://img.pokemondb.net/sprites/scarlet-violet/icon/lampent.png
609,Chandelure,"['Ghost', 'Fire']",1,75.6,34.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/chandelure.png
610,Axew,['Dragon'],0.6,39.7,18,https://img.pokemondb.net/sprites/scarlet-violet/icon/axew.png
611,Fraxure,['Dragon'],1,79.4,36,https://img.pokemondb.net/sprites/scarlet-violet/icon/fraxure.png
612,Haxorus,['Dragon'],1.8,232.6,105.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/haxorus.png
613,Cubchoo,['Ice'],0.5,18.7,8.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/cubchoo.png
614,Beartic,['Ice'],2.6,573.2,260,https://img.pokemondb.net/sprites/scarlet-violet/icon/beartic.png
615,Cryogonal,['Ice'],1.1,326.3,148,https://img.pokemondb.net/sprites/scarlet-violet/icon/cryogonal.png
616,Shelmet,['Bug'],0.4,17,7.7,https://img.pokemondb.net/sprites/scarlet-violet/icon/shelmet.png
617,Accelgor,['Bug'],0.8,55.8,25.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/accelgor.png
618,Stunfisk,"['Ground', 'Electric']",0.7,24.3,11,https://img.pokemondb.net/sprites/scarlet-violet/icon/stunfisk.png
619,Mienfoo,['Fighting'],0.9,44.1,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/mienfoo.png
620,Mienshao,['Fighting'],1.4,78.3,35.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/mienshao.png
621,Druddigon,['Dragon'],1.6,306.4,139,https://img.pokemondb.net/sprites/scarlet-violet/icon/druddigon.png
622,Golett,"['Ground', 'Ghost']",1,202.8,92,https://img.pokemondb.net/sprites/scarlet-violet/icon/golett.png
623,Golurk,"['Ground', 'Ghost']",2.8,727.5,330,https://img.pokemondb.net/sprites/scarlet-violet/icon/golurk.png
624,Pawniard,"['Darkness', 'Metal']",0.5,22.5,10.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/pawniard.png
625,Bisharp,"['Darkness', 'Metal']",1.6,154.3,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/bisharp.png
626,Bouffalant,['Normal'],1.6,208.6,94.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/bouffalant.png
627,Rufflet,"['Normal', 'Flying']",0.5,23.1,10.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/rufflet.png
628,Braviary,"['Normal', 'Flying']",1.5,90.4,41,https://img.pokemondb.net/sprites/scarlet-violet/icon/braviary.png
629,Vullaby,"['Darkness', 'Flying']",0.5,19.8,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/vullaby.png
630,Mandibuzz,"['Darkness', 'Flying']",1.2,87.1,39.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/mandibuzz.png
631,Heatmor,['Fire'],1.4,127.9,58,https://img.pokemondb.net/sprites/scarlet-violet/icon/heatmor.png
632,Durant,"['Bug', 'Metal']",0.3,72.8,33,https://img.pokemondb.net/sprites/scarlet-violet/icon/durant.png
633,Deino,"['Darkness', 'Dragon']",0.8,38.1,17.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/deino.png
634,Zweilous,"['Darkness', 'Dragon']",1.4,110.2,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/zweilous.png
635,Hydreigon,"['Darkness', 'Dragon']",1.8,352.7,160,https://img.pokemondb.net/sprites/scarlet-violet/icon/hydreigon.png
636,Larvesta,"['Bug', 'Fire']",1.1,63.5,28.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/larvesta.png
637,Volcarona,"['Bug', 'Fire']",1.6,101.4,46,https://img.pokemondb.net/sprites/scarlet-violet/icon/volcarona.png
638,Cobalion,"['Metal', 'Fighting']",2.1,551.2,250,https://img.pokemondb.net/sprites/scarlet-violet/icon/cobalion.png
639,Terrakion,"['Rock', 'Fighting']",1.9,573.2,260,https://img.pokemondb.net/sprites/scarlet-violet/icon/terrakion.png
640,Virizion,"['Grass', 'Fighting']",2,440.9,200,https://img.pokemondb.net/sprites/scarlet-violet/icon/virizion.png
641,Tornadus,['Flying'],1.5,138.9,63,https://img.pokemondb.net/sprites/scarlet-violet/icon/tornadus-incarnate.png
642,Thundurus,"['Electric', 'Flying']",1.5,134.5,61,https://img.pokemondb.net/sprites/scarlet-violet/icon/thundurus-incarnate.png
643,Reshiram,"['Dragon', 'Fire']",3.2,727.5,330,https://img.pokemondb.net/sprites/scarlet-violet/icon/reshiram.png
644,Zekrom,"['Dragon', 'Electric']",2.9,760.6,345,https://img.pokemondb.net/sprites/scarlet-violet/icon/zekrom.png
645,Landorus,"['Ground', 'Flying']",1.5,149.9,68,https://img.pokemondb.net/sprites/scarlet-violet/icon/landorus-incarnate.png
646,Kyurem,"['Dragon', 'Ice']",3,716.5,325,https://img.pokemondb.net/sprites/scarlet-violet/icon/kyurem.png
647,Keldeo,"['Water', 'Fighting']",1.4,106.9,48.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/keldeo-ordinary.png
648,Meloetta,"['Normal', 'Psychic']",0.6,14.3,6.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/meloetta-aria.png
649,Genesect,"['Bug', 'Metal']",1.5,181.9,82.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/genesect.png
650,Chespin,['Grass'],0.4,19.8,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/chespin.png
651,Quilladin,['Grass'],0.7,63.9,29,https://img.pokemondb.net/sprites/scarlet-violet/icon/quilladin.png
652,Chesnaught,"['Grass', 'Fighting']",1.6,198.4,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/chesnaught.png
653,Fennekin,['Fire'],0.4,20.7,9.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/fennekin.png
654,Braixen,['Fire'],1,32,14.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/braixen.png
655,Delphox,"['Fire', 'Psychic']",1.5,86,39,https://img.pokemondb.net/sprites/scarlet-violet/icon/delphox.png
656,Froakie,['Water'],0.3,15.4,7,https://img.pokemondb.net/sprites/scarlet-violet/icon/froakie.png
657,Frogadier,['Water'],0.6,24,10.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/frogadier.png
658,Greninja,"['Water', 'Darkness']",1.5,88.2,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/greninja.png
659,Bunnelby,['Normal'],0.4,11,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/bunnelby.png
660,Diggersby,"['Normal', 'Ground']",1,93.5,42.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/diggersby.png
661,Fletchling,"['Normal', 'Flying']",0.3,3.7,1.7,https://img.pokemondb.net/sprites/scarlet-violet/icon/fletchling.png
662,Fletchinder,"['Fire', 'Flying']",0.7,35.3,16,https://img.pokemondb.net/sprites/scarlet-violet/icon/fletchinder.png
663,Talonflame,"['Fire', 'Flying']",1.2,54,24.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/talonflame.png
664,Scatterbug,['Bug'],0.3,5.5,2.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/scatterbug.png
665,Spewpa,['Bug'],0.3,18.5,8.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/spewpa.png
666,Vivillon,"['Bug', 'Flying']",1.2,37.5,17,https://img.pokemondb.net/sprites/scarlet-violet/icon/vivillon.png
667,Litleo,"['Fire', 'Normal']",0.6,29.8,13.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/litleo.png
668,Pyroar,"['Fire', 'Normal']",1.5,179.7,81.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/pyroar.png
669,Flab,['Fairy'],0.1,0.2,0.1,https://img.pokemondb.net/sprites/scarlet-violet/icon/flabebe.png
670,Floette,['Fairy'],0.2,2,0.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/floette.png
671,Florges,['Fairy'],1.1,22,10,https://img.pokemondb.net/sprites/scarlet-violet/icon/florges.png
672,Skiddo,['Grass'],0.9,68.3,31,https://img.pokemondb.net/sprites/scarlet-violet/icon/skiddo.png
673,Gogoat,['Grass'],1.7,200.6,91,https://img.pokemondb.net/sprites/scarlet-violet/icon/gogoat.png
674,Pancham,['Fighting'],0.6,17.6,8,https://img.pokemondb.net/sprites/scarlet-violet/icon/pancham.png
675,Pangoro,"['Fighting', 'Darkness']",2.1,299.8,136,https://img.pokemondb.net/sprites/scarlet-violet/icon/pangoro.png
676,Furfrou,['Normal'],1.2,61.7,28,https://img.pokemondb.net/sprites/scarlet-violet/icon/furfrou.png
677,Espurr,['Psychic'],0.3,7.7,3.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/espurr.png
678,Meowstic,['Psychic'],0.6,18.7,8.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/meowstic-male.png
